City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Current Description
313,Yanam,IN,16.7333,82.2167,67.93,94,2.04,broken clouds
314,Sept-Iles,CA,50.2001,-66.3821,14.0,57,8.05,clear sky
315,Teknaf,BD,20.8624,92.3058,61.43,57,8.57,clear sky
316,Gewane,ET,10.1664,40.6453,67.46,66,2.98,clear sky
317,Nurota,UZ,40.5614,65.6886,39.2,48,9.22,broken clouds
318,Kalmunai,LK,7.4167,81.8167,75.33,89,8.46,broken clouds
319,Emba,KZ,48.8264,58.1442,22.91,95,8.61,overcast clouds
320,Pokhara,NP,28.2333,83.9833,47.57,40,5.01,clear sky
321,Abay,KZ,49.6311,72.8539,-4.0,77,8.95,clear sky
322,Nara,JP,34.6851,135.8049,34.0,80,2.3,scattered clouds
323,Omaha,US,41.2586,-95.9378,37.4,75,13.8,overcast clouds
324,Comendador,DO,18.8775,-71.7028,74.71,67,8.77,clear sky
325,Krasnoselkup,RU,65.7,82.4667,-30.86,80,5.5,scattered clouds
326,Fenoarivo Atsinanana,MG,-17.3667,49.4167,76.64,85,3.74,broken clouds
327,Usakos,NA,-22.0,15.6,73.08,46,3.36,broken clouds
328,Kutum,SD,14.2,24.6667,56.05,36,10.98,clear sky
329,Sitka,US,57.0531,-135.33,37.4,52,13.8,overcast clouds
330,Hay River,CA,60.8156,-115.7999,-11.2,70,4.61,few clouds
331,Iqaluit,CA,63.7506,-68.5145,-13.0,77,34.52,snow
332,Broome,US,42.2506,-75.833,15.01,67,10.36,broken clouds
333,West Milford,US,41.1312,-74.3674,19.99,55,1.01,clear sky
334,Husavik,IS,66.0449,-17.3389,28.4,86,7.72,overcast clouds
335,Bambous Virieux,MU,-20.3428,57.7575,80.6,83,8.05,light rain
336,Fez,MA,34.0372,-4.9998,53.6,94,6.91,clear sky
337,Denpasar,ID,-8.65,115.2167,78.8,89,4.61,light rain
338,Lumeje,AO,-11.55,20.7833,67.33,86,4.47,overcast clouds
339,Lanxi,CN,29.2195,119.477,36.0,20,2.91,clear sky
340,Bilibino,RU,68.0546,166.4372,-25.46,79,4.76,few clouds
341,Yulara,AU,-25.2406,130.9889,80.6,50,16.11,overcast clouds
342,Hobyo,SO,5.3505,48.5268,75.58,75,16.37,few clouds
343,Ormara,PK,25.2088,64.6357,66.06,45,4.94,clear sky
344,Miri,MY,4.4148,114.0089,77.0,100,3.44,scattered clouds
345,Kruisfontein,ZA,-34.0033,24.7314,61.0,84,3.27,clear sky
346,Motygino,RU,58.1831,94.7592,-23.76,85,7.72,light snow
347,Saint-Louis,SN,16.3333,-15.0,82.4,18,2.3,clear sky
348,Araouane,ML,18.9048,-3.5265,70.03,21,7.65,clear sky
349,Tabou,CI,4.423,-7.3528,77.81,86,5.41,overcast clouds
