City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Chibombo,ZM,2021=01-28 20:04:54,-14.6569,28.0706,67.26,90,100,3.33
247,Yanam,IN,2021=01-28 20:03:39,16.7333,82.2167,70.12,91,9,3.04
248,Tibati,CM,2021=01-28 20:04:55,6.4667,12.6333,74.64,19,74,6.69
249,Cutervo,PE,2021=01-28 20:04:55,-6.379,-78.8157,62.28,79,51,3.47
250,Ambulu,ID,2021=01-28 20:04:55,-8.345,113.6058,76.06,86,100,4.79
251,Kungurtug,RU,2021=01-28 20:04:55,50.5994,97.5228,7.72,88,100,3.04
252,Coihaique,CL,2021=01-28 20:04:55,-45.5752,-72.0662,57.2,54,40,8.05
253,Marawi,PH,2021=01-28 20:04:55,7.9986,124.2928,73.0,95,91,1.01
254,Ierissos,GR,2021=01-28 20:04:56,40.4,23.8833,33.01,66,0,3.0
255,Queanbeyan,AU,2021=01-28 20:04:56,-35.35,149.2333,57.2,100,90,8.05
256,Oistins,BB,2021=01-28 20:04:56,13.0667,-59.5333,82.4,61,75,16.11
257,Semnan,IR,2021=01-28 20:04:56,35.5729,53.3971,40.8,60,0,1.5
258,Chuy,UY,2021=01-28 20:04:56,-33.6971,-53.4616,77.88,53,81,12.26
259,Hasaki,JP,2021=01-28 20:03:17,35.7333,140.8333,37.4,93,75,4.61
260,Laiyang,CN,2021=01-28 20:04:57,36.9758,120.7136,25.0,58,0,7.09
261,Nizwa,OM,2021=01-28 20:04:57,22.9333,57.5333,55.13,53,1,1.12
262,Santa Marta,CO,2021=01-28 20:04:57,11.2408,-74.199,88.0,58,20,14.0
263,Coquimbo,CL,2021=01-28 20:01:22,-29.9533,-71.3436,64.4,72,20,13.8
264,Khatanga,RU,2021=01-28 20:02:17,71.9667,102.5,-39.37,76,0,4.43
265,Espanola,US,2021=01-28 20:04:57,35.9911,-106.0806,37.99,47,1,2.06
266,Elko,US,2021=01-28 20:00:21,41.0002,-115.5012,41.0,45,90,3.44
267,Bangassou,CF,2021=01-28 20:04:58,4.7413,22.8184,78.94,50,99,4.29
268,Victoria,HK,2021=01-28 20:02:12,22.2855,114.1577,61.0,55,6,1.99
269,Berlevag,NO,2021=01-28 20:00:15,70.8578,29.0864,21.2,73,0,18.41
270,Winchester,GB,2021=01-28 20:02:28,51.0651,-1.3187,52.0,93,75,14.97
271,Marsaxlokk,MT,2021=01-28 20:04:59,35.8419,14.5431,57.99,88,75,9.22
272,Dalby,AU,2021=01-28 20:04:59,-27.1833,151.2667,68.0,92,0,10.96
273,Jambi,ID,2021=01-28 20:04:59,-1.6,103.6167,72.7,98,100,3.18
274,Les Cayes,HT,2021=01-28 20:04:59,18.2,-73.75,81.55,62,4,4.07
275,Banamba,ML,2021=01-28 20:04:59,13.55,-7.45,74.53,16,0,7.58
276,Zigong,CN,2021=01-28 20:04:12,29.3416,104.7769,48.74,75,2,2.86
277,Bathsheba,BB,2021=01-28 20:05:00,13.2167,-59.5167,82.4,61,75,16.11
278,Ginda,IN,2021=01-28 20:05:00,30.6945,78.4932,37.72,52,0,6.71
279,Kavieng,PG,2021=01-28 20:03:25,-2.5744,150.7967,82.83,76,59,9.37
280,Bouza,NE,2021=01-28 20:05:00,14.4229,6.0428,72.46,20,0,12.15
281,Itoman,JP,2021=01-28 20:05:00,26.1247,127.6694,57.2,54,75,24.16
282,Kraskino,RU,2021=01-28 20:05:00,42.7114,130.7794,0.45,81,59,25.48
283,Samarai,PG,2021=01-28 20:05:01,-10.6167,150.6667,80.8,78,87,4.16
284,Port Lincoln,AU,2021=01-28 20:03:31,-34.7333,135.8667,61.52,91,60,4.65
285,Norden,DE,2021=01-28 20:03:10,53.6,7.2,32.0,83,94,7.0
286,Obihiro,JP,2021=01-28 20:05:01,42.9172,143.2044,20.64,97,100,5.97
287,Marzuq,YE,2021=01-28 20:05:01,14.4,46.4667,59.25,43,0,4.07
288,Kijini,TZ,2021=01-28 20:05:02,-5.85,39.3167,80.15,83,0,13.85
289,Sao Borja,BR,2021=01-28 20:00:17,-28.6606,-56.0044,87.48,54,23,3.22
290,Basco,PH,2021=01-28 20:05:02,20.4487,121.9702,68.9,82,94,36.39
291,Carballo,ES,2021=01-28 20:05:02,43.213,-8.691,59.0,88,100,3.0
292,Jian,CN,2021=01-28 20:05:02,27.1172,114.9793,43.74,83,0,3.29
293,Poso,ID,2021=01-28 20:05:03,-1.3959,120.7524,77.0,84,100,2.64
